branch	branch_len	from_root
pan	0.00426341	0.43870575
hominini	0.00204322	0.43444234
homininae	0.00907487	0.43239912
hominidae	0.00314386	0.42332425
hominoidea	0.0106897	0.42018039
papionini	0.00373754	0.4396502
cercopithecinae	0.00539037	0.43591266
presbytini	0.00567791	0.44239781
colobini	0.00265928	0.43937918
colobinae	0.00619761	0.4367199
cercopithecidae	0.0210316	0.43052229
catarrhini	0.019854	0.40949069
callitrichoidea	0.00161469	0.42822608
cebidae	0.00380271	0.4304141
platyrrhini	0.0369747	0.42661139
simiiformes	0.0590031	0.38963669
haplorrhini	0.0111117	0.33063359
lemuroidea	0.0366836	0.38961979
strepsirrhini	0.0334143	0.35293619
primates	0.0140916	0.31952189
primatomorpha	0.00475067	0.30543029
euarchonta	0.00334032	0.30067962
arvicolinae-cricetinae	0.00552935	0.55870585
cricetidae	0.0268366	0.5531765
mus	0.0444039	0.6399147
murinae	0.0523501	0.5955108
muridae	0.0168208	0.5431607
eumuroida	0.0856326	0.5263399
muroidea	0.0387555	0.4407073
myodonta	0.0409814	0.4019518
castorimorpha	0.0217416	0.382712
phiomorpha	0.0335527	0.481602
octodontoidea-chinchilloidea	0.0147769	0.4871609
caviomorpha	0.0243347	0.472384
hystricomorpha	0.105472	0.4480493
myodonta-castorimorpha-hystricomorpha	0.0064721	0.3425773
sciuromorpha	0.128415	0.4645202
rodentia	0.0261529	0.3361052
lagomorpha	0.105365	0.4153173
glires	0.012613	0.3099523
euarchontoglires	0.0203135	0.2973393
camelus	0.0125037	0.4570296
camelidae	0.0938827	0.4445259
delphinidae	0.00627474	0.44205309
delphinoidea	0.00504245	0.43577835
delphinoidea-inoidea	0.00753273	0.4307359
odontoceti	0.00281607	0.42320317
mysticeti	0.00684999	0.42723709
cetacea	0.0407596	0.4203871
bovina	0.0133521	0.5308826
bovini	0.0141777	0.5175305
ovis	0.00991226	0.53919452
caprinae	0.00562576	0.52928226
caprini	0.0203037	0.5236565
bovidae	0.0120173	0.5033528
cervidae	0.0236784	0.4913355
pecora	0.0880296	0.4676571
cetruminantia	0.0179655	0.3796275
artiofabula	0.0110188	0.361662
cetartiodactyla	0.0412296	0.3506432
equus	0.00583218	0.42754529
equidae	0.0708038	0.42171311
perissodactyla	0.0346388	0.35090931
felinae	0.00320587	0.45310283
panthera	0.00612641	0.45602337
felidae	0.0786428	0.44989696
canidae	0.0864189	0.47805236
mustelidae	0.0455244	0.48093526
musteloidea	0.022168	0.43541086
ursidae	0.0421556	0.45833746
phocidae	0.0162872	0.45947336
pinnipedia	0.0270043	0.44318616
arctoidea	0.0216094	0.41324286
caniformia	0.0203793	0.39163346
carnivora	0.0460411	0.37125416
pholidota	0.121249	0.44646206
ferae	0.00894255	0.32521306
pteropus	0.0255344	0.45955364
pteropodidae	0.0786026	0.43401924
yinochiroptera	0.0425411	0.39795774
yinpterochiroptera	0.0119892	0.35541664
vespertilionoidea	0.0222287	0.39817814
yangochiroptera	0.032522	0.37594944
chiroptera	0.0306315	0.34342744
scrotifera	0.0106427	0.3094136
erinaceidae-soricidae	0.0423014	0.3794016
eulipotyphla	0.0383293	0.3371002
laurasiatheria	0.0217451	0.2987709
boreoeutheria	0.0210258	0.2770258
tethytheria	0.00818521	0.3481615
paenungulata	0.0225157	0.33997629
afrosoricida	0.0154948	0.34774383
afroinsectivora	0.00784975	0.33224903
afroinsectiphilia	0.00693869	0.32439928
afrotheria	0.055133	0.31746059
xenarthra	0.0556524	0.31797999
atlantogenata	0.00632759	0.26232759
eutheria	0.256021	0.256021
australidelphia	0.0322988	0.2610058
marsupialia	0.228707	0.228707
