external_gene_name	pathway
PTCH1	hedgehog
PTCH2	hedgehog
SMO	hedgehog
GPR161	hedgehog
PRKACA	hedgehog
PRKACB	hedgehog
PRKACG	hedgehog
CSNK1A1L	hedgehog
CSNK1A1	hedgehog
CSNK1G2	hedgehog
CSNK1G3	hedgehog
CSNK1G1	hedgehog
CSNK1D	hedgehog
CSNK1E	hedgehog
TPTEP2-CSNK1E	hedgehog
GSK3B	hedgehog
GLI1	hedgehog
GLI2	hedgehog
GLI3	hedgehog
SUFU	hedgehog
KIF7	hedgehog
HHIP	hedgehog
CCND1	hedgehog
CCND2	hedgehog
BCL2	hedgehog
CUL1	hedgehog
BTRC	hedgehog
FBXW11	hedgehog
HHAT	hedgehog
HHATL	hedgehog
SHH	hedgehog
IHH	hedgehog
DHH	hedgehog
DISP1	hedgehog
SCUBE2	hedgehog
BOC	hedgehog
CDON	hedgehog
GAS1	hedgehog
LRP2	hedgehog
MOSMO	hedgehog
MEGF8	hedgehog
MGRN1	hedgehog
SMURF1	hedgehog
SMURF2	hedgehog
GRK2	hedgehog
GRK3	hedgehog
EVC	hedgehog
EVC2	hedgehog
EFCAB7	hedgehog
IQCE	hedgehog
ARRB1	hedgehog
ARRB2	hedgehog
KIF3A	hedgehog
CUL3	hedgehog
SPOP	hedgehog
SPOPL	hedgehog
CRB2	hippo
CRB1	hippo
PARD3	hippo
PARD6A	hippo
PARD6G	hippo
PARD6B	hippo
PRKCZ	hippo
PRKCI	hippo
PATJ	hippo
PALS1	hippo
AMOT	hippo
YAP1	hippo
WWTR1	hippo
CDH1	hippo
LIMD1	hippo
AJUBA	hippo
WTIP	hippo
NF2	hippo
WWC1	hippo
FRMD1	hippo
FRMD6	hippo
SAV1	hippo
STK3	hippo
RASSF6	hippo
RASSF1	hippo
PPP2CA	hippo
PPP2CB	hippo
PPP2R1B	hippo
PPP2R1A	hippo
PPP2R2A	hippo
PPP2R2B	hippo
PPP2R2C	hippo
PPP2R2D	hippo
LATS2	hippo
LATS1	hippo
MOB1A	hippo
MOB1B	hippo
PPP1CA	hippo
PPP1CB	hippo
PPP1CC	hippo
TP53BP2	hippo
LLGL2	hippo
LLGL1	hippo
SCRIB	hippo
DLG1	hippo
DLG2	hippo
DLG3	hippo
DLG4	hippo
DLG5	hippo
CSNK1D	hippo
CSNK1E	hippo
TPTEP2-CSNK1E	hippo
BTRC	hippo
FBXW11	hippo
TP73	hippo
BBC3	hippo
TEAD1	hippo
TEAD4	hippo
TEAD3	hippo
TEAD2	hippo
CCN2	hippo
GLI2	hippo
AREG	hippo
BIRC5	hippo
AFP	hippo
ITGB2	hippo
FGF1	hippo
TGFB1	hippo
TGFB2	hippo
TGFB3	hippo
TGFBR1	hippo
TGFBR2	hippo
SMAD7	hippo
SMAD2	hippo
SMAD3	hippo
SMAD4	hippo
SERPINE1	hippo
BMP2	hippo
BMP4	hippo
BMP5	hippo
BMP6	hippo
BMP7	hippo
BMP8B	hippo
BMP8A	hippo
GDF5	hippo
