284	AHR	bHLH	AHR_HUMAN.H11MO.0.B	9	2	8	3
139	AIRE	not_classified	AIRE_HUMAN.H11MO.0.C	18	2	17	2
53	AP1/2	bZIP	BACH1_HUMAN.H11MO.0.A	19	4	15	12
86	ARI5B	ARID	ARI5B_HUMAN.H11MO.0.C	13	2	12	2
138	BATF	bZIP	BATF3_HUMAN.H11MO.0.B	19	2	16	4
170	BCL6/2	C2H2	BCL6_HUMAN.H11MO.0.A	14	2	13	3
52	CCAAT/CEBP	bZIP	CEBPA_HUMAN.H11MO.0.A	14	2	11	37
49	CREB/ATF/1	bZIP	ATF1_HUMAN.H11MO.0.B	17	5	14	23
51	CREB/ATF/3	bZIP	ATF4_HUMAN.H11MO.0.A	14	3	13	8
61	CREB3/XBP1	bZIP	ATF6A_HUMAN.H11MO.0.B	17	2	13	11
265	CTCF	C2H2	CTCFL_HUMAN.H11MO.0.A	20	3	17	7
156	E2F/2	E2F	E2F1_HUMAN.H11MO.0.A	15	4	12	14
158	E2F/4	E2F	E2F2_HUMAN.H11MO.0.B	10	1	9	4
174	EBF1	EBF	COE1_HUMAN.H11MO.0.A	15	3	13	4
59	Ebox/CACGTG/2	bHLH	CLOCK_HUMAN.H11MO.0.C	18	6	15	17
63	Ebox/CAGATGG	bHLH	ATOH1_HUMAN.H11MO.0.B	21	4	18	18
65	Ebox/CAGCTG	bHLH	ASCL1_HUMAN.H11MO.0.A	18	3	12	37
96	ETS/2	ETS	EHF_HUMAN.H11MO.0.B	18	3	14	24
241	EVI1/MECOM	C2H2	EVI1_HUMAN.H11MO.0.B	16	1	14	3
122	FEZF1	C2H2	FEZF1_HUMAN.H11MO.0.C	12	2	11	1
76	FOX/1	forkhead	FOXH1_HUMAN.H11MO.0.A	11	0	8	2
79	FOX/4	forkhead	ANDR_HUMAN.H11MO.0.A	23	10	20	31
113	GC-tract	C2H2	KLF15_HUMAN.H11MO.0.A	30	6	26	13
181	GFI	C2H2	GFI1B_HUMAN.H11MO.0.A	12	2	10	6
10	HD/10	homeodomain	HNF1A_HUMAN.H11MO.0.C	15	1	14	9
12	HD/12	homeodomain	PBX1_HUMAN.H11MO.0.A	17	3	13	7
18	HD/13	homeodomain	CDX1_HUMAN.H11MO.0.C	8	1	7	2
19	HD/14	homeodomain	HXA10_HUMAN.H11MO.0.C	14	2	11	9
20	HD/15	homeodomain	HXA1_HUMAN.H11MO.0.C	10	1	10	2
21	HD/16	homeodomain	HXB7_HUMAN.H11MO.0.C	15	4	13	8
26	HD/20	homeodomain	CRX_HUMAN.H11MO.0.B	17	6	12	30
27	HD/21	homeodomain	NKX28_HUMAN.H11MO.0.C	9	1	8	2
8	HD/8	homeodomain	ALX1_HUMAN.H11MO.0.B	13	1	12	26
64	HEN1	bHLH	HEN1_HUMAN.H11MO.0.C	20	2	18	2
243	HIC/2	C2H2	HIC1_HUMAN.H11MO.0.C	9	1	8	2
266	INSM1	C2H2	INSM1_HUMAN.H11MO.0.C	12	0	12	3
106	IRF/2	IRF	BC11A_HUMAN.H11MO.0.A	24	3	19	16
155	KAISO	C2H2	KAISO_HUMAN.H11MO.0.A	15	2	14	3
109	KLF/SP/2	C2H2	EGR1_HUMAN.H11MO.0.A	35	10	27	37
285	KLF/SP/3	C2H2	KLF8_HUMAN.H11MO.0.C	9	0	9	2
120	LEF1	HMG	LEF1_HUMAN.H11MO.0.A	18	3	16	4
55	MAF	bZIP	MAFB_HUMAN.H11MO.0.B	23	3	18	24
239	MBD2	MBD	MBD2_HUMAN.H11MO.0.B	11	1	10	2
97	MECP2	MBD	MECP2_HUMAN.H11MO.0.C	7	0	7	2
183	MEF2	MADS	MEF2A_HUMAN.H11MO.0.A	17	4	14	14
114	MZF1	C2H2	MZF1_HUMAN.H11MO.0.B	21	4	20	2
101	NFAC/2	NFAT	NFAC1_HUMAN.H11MO.0.B	17	2	14	2
128	NFI/3	NFI	NFIA_HUMAN.H11MO.0.C	17	2	15	3
160	NFKB/1	NFAT	NFKB1_HUMAN.H11MO.1.B	14	2	12	10
159	NFKB/3	NFAT	REL_HUMAN.H11MO.0.B	15	2	14	2
30	NR/1	nuclearreceptor	HNF4A_HUMAN.H11MO.0.A	17	2	15	33
45	NR/16	nuclearreceptor	NR1H3_HUMAN.H11MO.0.B	20	3	19	20
46	NR/17	nuclearreceptor	ESR1_HUMAN.H11MO.0.A	21	3	18	10
48	NR/19	nuclearreceptor	NR1D1_HUMAN.H11MO.0.B	19	3	14	8
31	NR/2	nuclearreceptor	NR2E3_HUMAN.H11MO.0.C	14	1	14	2
32	NR/3	nuclearreceptor	COT1_HUMAN.H11MO.0.C	20	3	17	15
36	NR/7	nuclearreceptor	ERR1_HUMAN.H11MO.0.A	22	2	17	17
192	NRF1	CNC-bZIP	NRF1_HUMAN.H11MO.0.A	17	3	14	4
84	OCT4+SOX2	POU	NANOG_HUMAN.H11MO.0.A	17	2	16	7
130	OSR2	C2H2	OSR2_HUMAN.H11MO.0.C	16	3	14	1
240	OVOL1	C2H2	OVOL1_HUMAN.H11MO.0.C	9	0	9	2
257	P53-like/1	P53L	P53_HUMAN.H11MO.0.A	20	2	18	12
282	PAX/2	PAX	PAX5_HUMAN.H11MO.0.A	24	4	21	3
85	POU/1	POU	PO2F1_HUMAN.H11MO.0.C	18	5	14	24
83	POU/3	POU	PIT1_HUMAN.H11MO.0.C	17	2	14	11
149	PRDM14	C2H2	PRD14_HUMAN.H11MO.0.A	16	2	13	2
151	REST/NRSF	C2H2	REST_HUMAN.H11MO.0.A	22	2	20	3
247	RFX/1	RFX	RFX1_HUMAN.H11MO.0.B	24	6	20	19
246	RFX/3	RFX	RFX5_HUMAN.H11MO.0.A	20	4	17	2
179	RUNX/1	RUNX	PEBB_HUMAN.H11MO.0.C	18	5	15	16
180	SIX/1	SIX	SIX1_HUMAN.H11MO.0.A	17	4	15	6
129	SMAD	SMAD	SMAD3_HUMAN.H11MO.0.B	14	2	12	3
250	SMARCA1	MYB/SANT	SMCA1_HUMAN.H11MO.0.C	12	1	11	1
125	SMARCA5	MYB/SANT	SMCA5_HUMAN.H11MO.0.C	24	2	21	4
89	SOX/1	HMG	SOX10_HUMAN.H11MO.0.B	19	3	16	21
91	SOX/2	HMG	SOX5_HUMAN.H11MO.0.C	8	1	7	3
74	SREBF1	bHLH-ZIP	SRBP1_HUMAN.H11MO.0.A	13	2	11	6
184	SRF	MADS	SRF_HUMAN.H11MO.0.A	18	2	15	5
167	STAT/1	STAT	STAT6_HUMAN.H11MO.0.B	16	3	13	3
171	STAT/2	STAT	STA5A_HUMAN.H11MO.0.A	19	5	14	13
182	TATA	not_classified	TBP_HUMAN.H11MO.0.A	15	1	10	3
70	TBX/1	TBX	BRAC_HUMAN.H11MO.0.A	25	2	18	6
166	TEAD	TEA	TEAD1_HUMAN.H11MO.0.A	19	2	15	14
264	TFAP2/1	TFAP	AP2A_HUMAN.H11MO.0.A	15	3	12	24
145	YY1	C2H2	TYY1_HUMAN.H11MO.0.A	16	1	12	10
217	ZBTB14	C2H2	ZBT14_HUMAN.H11MO.0.C	9	1	9	1
175	ZBTB48	C2H2	ZBT48_HUMAN.H11MO.0.C	12	1	10	1
146	ZBTB6	C2H2	ZBTB6_HUMAN.H11MO.0.C	13	0	12	1
267	ZBTB7A	C2H2	ZBT7A_HUMAN.H11MO.0.A	9	1	8	2
244	ZFN121	C2H2	ZN121_HUMAN.H11MO.0.C	20	0	19	1
144	ZFX	C2H2	ZFX_HUMAN.H11MO.0.A	22	7	18	3
110	ZIC/2	C2H2	ZIC1_HUMAN.H11MO.0.B	11	2	10	6
108	ZIM3	C2H2	ZIM3_HUMAN.H11MO.0.C	19	2	16	1
272	ZKSCAN1	C2H2	ZKSC1_HUMAN.H11MO.0.B	19	3	17	2
135	ZNF134	C2H2	ZN134_HUMAN.H11MO.0.C	22	1	21	1
227	ZNF136	C2H2	ZN136_HUMAN.H11MO.0.C	24	1	23	1
143	ZNF140	C2H2	ZN140_HUMAN.H11MO.0.C	24	4	22	1
173	ZNF143	C2H2	IKZF1_HUMAN.H11MO.0.C	24	3	22	7
208	ZNF146	C2H2	OZF_HUMAN.H11MO.0.C	24	1	23	2
219	ZNF250	C2H2	ZN250_HUMAN.H11MO.0.C	20	1	19	1
75	ZNF257	C2H2	ZN257_HUMAN.H11MO.0.C	12	1	11	1
123	ZNF274	C2H2	ZN274_HUMAN.H11MO.0.A	20	0	20	1
107	ZNF28	C2H2	ZFP28_HUMAN.H11MO.0.C	20	1	20	1
56	ZNF317	C2H2	ZN317_HUMAN.H11MO.0.C	20	0	19	1
269	ZNF320	C2H2	ZN320_HUMAN.H11MO.0.C	20	0	19	1
115	ZNF324	C2H2	Z324A_HUMAN.H11MO.0.C	23	2	21	1
260	ZNF329	C2H2	ZN329_HUMAN.H11MO.0.C	20	0	20	1
270	ZNF331	C2H2	ZN331_HUMAN.H11MO.0.C	20	0	19	1
152	ZNF332	C2H2	ZN322_HUMAN.H11MO.0.B	20	1	18	2
121	ZNF354	C2H2	Z354A_HUMAN.H11MO.0.C	29	2	27	5
154	ZNF382	C2H2	ZN382_HUMAN.H11MO.0.C	22	1	22	1
193	ZNF384/1	C2H2	ZN384_HUMAN.H11MO.0.C	12	1	8	1
124	ZNF41	C2H2	ZNF41_HUMAN.H11MO.0.C	24	1	23	1
126	ZNF418	C2H2	ZN418_HUMAN.H11MO.0.C	17	0	14	1
118	ZNF436	C2H2	ZN436_HUMAN.H11MO.0.C	24	1	24	1
271	ZNF449	C2H2	ZN449_HUMAN.H11MO.0.C	11	1	10	1
220	ZNF490	C2H2	ZN490_HUMAN.H11MO.0.C	24	1	22	1
119	ZNF528	C2H2	ZN528_HUMAN.H11MO.0.C	20	3	18	1
57	ZNF547	C2H2	ZN547_HUMAN.H11MO.0.C	20	1	20	1
134	ZNF549	C2H2	ZN549_HUMAN.H11MO.0.C	20	2	18	1
142	ZNF554	C2H2	ZN554_HUMAN.H11MO.0.C	20	1	19	1
140	ZNF563	C2H2	ZN563_HUMAN.H11MO.0.C	21	1	20	1
197	ZNF586	C2H2	ZN586_HUMAN.H11MO.0.C	20	0	20	1
141	ZNF667	C2H2	ZN667_HUMAN.H11MO.0.C	19	1	19	1
251	ZNF680	C2H2	ZN680_HUMAN.H11MO.0.C	20	1	20	1
136	ZNF708	C2H2	ZN708_HUMAN.H11MO.0.C	20	3	20	1
137	ZNF768	C2H2	ZN768_HUMAN.H11MO.0.C	20	2	19	1
127	ZNF85	C2H2	ZNF85_HUMAN.H11MO.0.C	20	2	19	1
231	ZNF85	C2H2	ZNF8_HUMAN.H11MO.0.C	22	1	22	1
133	ZSCAN3	C2H2	ZSC31_HUMAN.H11MO.0.C	18	1	16	1
